Nr.;Vorname;Nachname;Geburtsdatum;Postleitzahl;Stadt;Telefon;EMail;Registrierung;Geschlecht
21;Waldtraud;Pätzold;08.06.2015;49196;Bad Laer;05424/15726411;wpaetzold@web.none;22.07.2019;w
22;Mariegret;Drechsel;28.07.1944;53506;Rech;02643/55675156;mariegretdrechsel@retromail.none;06.05.2020;w
23;Matthäus;Meiners;13.04.2001;21406;Barnstedt;04134/20361697;m_meiners@validmail.none;23.02.2020;m
24;Oscar;Stutz;21.03.1927;67728;Münchweiler an der Alsenz;06302/77896215;o_27@retromail.none;09.05.2020;m
25;Hanns;Senn;14.02.1989;31555;Suthfeld;05723/29412756;;21.03.2020;m
26;Claus;Rottmann;24.04.1915;38440;Wolfsburg;05361/69651129;claus.rottmann@live-mail.none;02.05.2021;d
27;Lewin;Benedikt;02.06.2011;67744;Löllbach;06753/76637021;lewin.2011@validmail.none;30.01.2021;m
28;Christin;Schunck;05.04.1917;34266;Niestetal;05605/66984583;christin.schunck@open-mail.none;27.08.2020;w
29;Aloys;Much;02.11.1962;34266;Niestetal;05605/14299325;aloys1962@spam-mail.none;16.03.2021;m
30;Gismar;Kampf;28.10.1931;38462;Grafhorst;;g_31@funmail.none;27.03.2020;m
31;Irmingard;Gerloff;03.10.1991;54578;Berndorf;06593/77543534;irmingard1991@anymail.none;20.01.2020;d
32;Volkart;Bohrer;07.11.1940;13158;Rosenthal;030/45285264;volkart1940@xyz.none;28.03.2019;m
33;Wolfhardt;Thornton;23.12.1980;49832;Freren;05902/71711522;wolfhardt-thornton@domain.none;05.09.2020;m
34;Herwarth;Breitenstein;17.05.2003;67586;Hillesheim;;herwarth-breitenstein@web.none;20.07.2019;m
35;Marga;Neis;08.12.1910;13158;Rosenthal;030/21430505;;17.06.2020;w
36;Eginhardt;Sabel;07.03.1942;54578;Berndorf;;eginhardt.sabel@live-mail.none;08.06.2021;m
37;Godo;Sender;11.02.2010;88361;Boms;07581/24720389;;08.08.2020;m
38;Folko;Keppler;28.07.2008;49681;Garrel;04474/84446673;folko_2008@company.none;11.04.2021;d
39;Angelina;Steuber;04.09.1945;38440;Wolfsburg;05361/95244729;;03.11.2019;w
40;Philine;Vogler;23.02.1928;49196;Bad Laer;05424/59316176;p-vogler@kitty.none;26.10.2020;w
41;Lion;Fauser;05.03.1985;67586;Hillesheim;;lion-fauser@web.none;08.06.2021;m
42;Annedörte;Michalak;18.09.1937;54636;Ehlenz;06561/86280021;annedoerte_michalak@validmail.none;24.06.2021;w
43;Boto;Lais;23.01.1909;17111;Sarow;03994/44061653;b.lais@net-mail.none;09.04.2020;m
44;Ortmund;Haucke;10.10.1970;13158;Rosenthal;030/59883677;o.haucke@justmail.none;27.12.2020;m
45;Daphne;Flender;28.05.1966;45476;Mülheim an der Ruhr;;daphneflender@ultramail.none;30.06.2020;w
46;Tankred;Czech;13.03.1921;84168;Aham;08744/93794425;tankred.czech@justmail.none;20.03.2019;m
47;Lioba;Blake;13.06.1937;25926;Karlum;04662/72441857;lioba_blake@ultramail.none;20.02.2020;w
48;Gernulf;Hufnagel;17.01.1913;49832;Freren;05902/31984337;gernulfhufnagel@xyz.none;31.07.2019;m
49;Caren;Wüllner;10.08.2006;50735;Köln;0221/30165806;c-wuellner@net-mail.none;29.04.2019;d
50;Gunda;Wünsch;07.03.1929;17111;Sarow;03994/47431495;gunda_wuensch@validmail.none;17.06.2019;w
51;Jonah;Mann;03.06.1940;49681;Garrel;;jonahmann@retromail.none;28.10.2019;m
52;Sara;Jung;29.10.1978;72294;Grömbach;07453/22006231;sara.jung@validmail.none;20.03.2020;w
53;Charlotte;Stempel;17.06.1958;67728;Münchweiler an der Alsenz;06302/43855131;charlotte.58@quickmail.none;03.12.2020;w
54;Reginhardt;Schirmacher;13.10.1925;33739;Bielefeld;0521/91046339;;04.01.2021;m
55;Luke;Szameitat;14.08.1965;82031;Grünwald;089/75718640;l_1965@trashmail.none;03.03.2021;d
56;Utz;Lammel;14.06.1994;67728;Münchweiler an der Alsenz;06302/97206023;utz_1994@company.none;04.02.2020;m
57;Otbert;Speier;05.08.1963;49196;Bad Laer;05424/1103325;otbert_speier@kitty.none;02.03.2019;m
58;Julian;Knobloch;31.07.1985;24211;Pohnsdorf;;julian.knobloch@goggle-mail.none;09.03.2021;d
59;Nic;Thieme;10.03.1945;38462;Grafhorst;05364/58287075;n45@xyz.none;02.08.2020;m
60;Margrid;Schiek;10.08.1941;49681;Garrel;04474/62312288;margridschiek@anymail.none;30.12.2019;w
61;Innozenz;Radmacher;08.10.1918;54636;Ehlenz;;i-radmacher@web.none;15.05.2020;d
62;Andre;Lack;29.11.1910;74243;Langenbrettach;07139/32857897;andrelack@live-mail.none;09.10.2020;m
63;Luisa;Hautmann;28.02.1946;67744;Löllbach;06753/72317759;;17.09.2019;w
64;Christoph;Stockhausen;08.01.1980;24626;Groß Kummerfeld;04328/88425397;christophstockhausen@ultramail.none;18.03.2019;m
65;Annedorle;Rosa;09.04.1903;54636;Ehlenz;06561/17529896;annedorle.rosa@retromail.none;28.05.2020;d
66;Dustin;Pfefferle;25.02.1985;24211;Pohnsdorf;04342/82522408;dustinpfefferle@retromail.none;17.07.2019;m
67;Arntraud;Ide;21.02.1964;72294;Grömbach;07453/82242007;arntraud_ide@bestmail.none;05.01.2019;w
68;Hedy;Lerch;30.10.1931;74243;Langenbrettach;;;14.04.2019;w
69;Borromäus;Klapper;04.11.1951;67586;Hillesheim;06733/61886180;borromaeus.klapper@justmail.none;15.11.2020;m
70;Theodore;Alvarado;19.05.1986;72411;Bodelshausen;07471/65536613;t_alvarado@inter-mail.none;05.03.2021;w
71;Harry;Tittel;28.01.1905;34266;Niestetal;05605/59216296;harrytittel@justmail.none;21.11.2020;d
72;Lyn;Lopez;01.01.1935;49832;Freren;05902/96969271;lyn.lopez@spam-mail.none;11.01.2020;w
73;Annerose;Arlt;25.05.1909;21521;Wohltorf;04104/9093824;annerose-arlt@inter-mail.none;18.10.2020;w
74;Frederic;Rieg;11.05.2017;21521;Wohltorf;04104/4808818;frieg@kitty.none;04.03.2021;m
75;Milena;Jähn;05.10.2014;67586;Hillesheim;06733/1202702;milena-jaehn@company.none;28.03.2021;w
76;Friedmar;Ahmed;17.11.1941;25764;Hillgroven;04823/55103243;;09.06.2020;m
77;Dankward;Steinhausen;27.05.1926;34266;Niestetal;05605/30247171;dankward-steinhausen@net-mail.none;04.10.2020;m
78;Caja;Grüneberg;25.06.1942;84367;Zeilarn;;caja42@net-mail.none;24.08.2019;w
79;Willi;Gerkens;19.11.2009;73265;Dettingen unter Teck;07021/37504304;;20.01.2020;m
80;Wilhelmine;Landau;06.11.1974;88361;Boms;07581/97487371;wilhelmine-landau@mymail.none;18.04.2020;w
81;Michelle;Giesa;18.06.1971;85622;Feldkirchen;089/91946516;michelle-giesa@funmail.none;05.12.2020;w
82;Helgert;Stevens;26.03.1945;38462;Grafhorst;05364/74032660;h_stevens@anymail.none;24.03.2021;m
83;Friedberg;Fontaine;09.07.1959;49196;Bad Laer;;f1959@email.none;28.03.2020;m
84;Josua;Gödeke;28.10.1907;25926;Karlum;;josuagoedeke@justmail.none;08.03.2021;m
85;Gretlies;Heidler;17.03.1952;85622;Feldkirchen;;gretliesheidler@private.none;23.09.2019;w
86;Linde;Seelig;09.06.1943;21406;Barnstedt;04134/25601375;;05.01.2020;w
87;Kaja;Reining;11.09.1923;85622;Feldkirchen;089/45362461;kajareining@open-mail.none;21.04.2021;w
88;Volkhardt;Borchert;02.08.1914;67586;Hillesheim;06733/1073504;volkhardt.borchert@ultramail.none;13.12.2019;m
89;Ulwin;Stürmer;10.10.1918;88361;Boms;07581/11923789;ulwin.18@kitty.none;07.04.2021;m
90;Katherina;Hagl;18.07.2006;97258;Oberickelsheim;09842/87414577;katherina_hagl@validmail.none;01.04.2020;w
91;Sigishelm;Göttert;22.03.1945;34266;Niestetal;;s.goettert@trashmail.none;31.08.2020;m
92;Berngard;Steffan;16.11.1968;72294;Grömbach;07453/36489425;b-1968@live-mail.none;30.09.2019;w
93;Sieghard;Manns;25.08.1993;38462;Grafhorst;05364/87067084;;02.07.2020;m
94;Bernhardin;Gieseler;15.08.1940;45476;Mülheim an der Ruhr;0208/16135294;bernhardingieseler@goggle-mail.none;20.08.2020;d
95;Herzlinde;Sandoval;29.02.1984;84367;Zeilarn;08572/41424644;herzlindesandoval@anymail.none;04.07.2020;d
96;Clara;Wernicke;16.01.2015;21521;Wohltorf;;cwernicke@email.none;30.10.2019;w
97;Leberecht;Eich;25.04.1948;49832;Freren;05902/91145375;leberecht.eich@net-mail.none;09.03.2021;m
98;Victoria;Kunst;17.11.1965;67586;Hillesheim;06733/42899909;v65@hoster.none;22.11.2019;w
99;Wolfhelm;Romberg;22.09.1934;84168;Aham;08744/57515718;wolfhelmromberg@mymail.none;30.09.2020;m
100;Frohlinde;Wunderlich;30.05.1998;97258;Oberickelsheim;09842/42410379;frohlinde_98@web.none;13.04.2019;d
101;Joerg;Platz;08.08.1905;84168;Aham;;j_platz@web.none;06.03.2021;m
102;Conrad;Lentz;12.08.1956;50735;Köln;0221/45387823;conrad-lentz@kitty.none;18.10.2019;m
103;Paulfried;Yavuz;13.10.1995;25926;Karlum;;;20.05.2020;m
104;Ingfried;Karp;11.04.1909;38462;Grafhorst;05364/71775726;i.09@open-mail.none;01.01.2020;m
105;Evelore;Dirr;16.10.1973;49832;Freren;05902/66198439;evelore-dirr@inter-mail.none;13.10.2020;w
106;Hieronimus;Mück;21.08.1936;49681;Garrel;;hieronimusmueck@ultramail.none;04.11.2020;m
107;Gerwin;Bechmann;07.07.1904;72411;Bodelshausen;;g-04@open-mail.none;03.09.2020;m
108;Karlgeorg;Hapke;09.10.2018;33739;Bielefeld;0521/89823977;karlgeorg-hapke@bestmail.none;09.09.2020;m
109;Cedric;Geibel;09.09.1918;49681;Garrel;04474/12970463;cgeibel@anymail.none;04.05.2021;m
110;Dietgar;Schlicker;28.11.2002;34266;Niestetal;05605/79039524;dietgar.schlicker@net-mail.none;27.08.2019;m
111;Dagobert;Keitel;09.01.2007;55471;Reich;06761/3066428;d.keitel@live-mail.none;06.02.2019;m
112;Diane;Weingartner;11.04.1971;97258;Oberickelsheim;09842/61958173;dianeweingartner@private.none;09.12.2020;w
113;Welfhard;Schwenger;16.05.2011;25926;Karlum;04662/10076624;welfhard-2011@domain.none;22.06.2020;m
114;Meinulf;Lunz;10.12.1914;49681;Garrel;04474/95542662;meinulf_lunz@domain.none;11.10.2019;m
115;Ehrhard;Deutschmann;29.11.1920;38462;Grafhorst;;ehrhard1920@live-mail.none;01.02.2020;m
116;Hansgünther;Hens;24.03.2008;38440;Wolfsburg;05361/22849791;hansguenther-hens@company.none;29.04.2019;m
117;Jonas;Wrobel;29.08.1944;88361;Boms;07581/21326580;jonas.wrobel@bestmail.none;10.11.2020;m
118;Ingolde;Häckel;29.04.2007;54636;Ehlenz;06561/29209963;ingolde.haeckel@open-mail.none;08.02.2020;w
119;Roswita;Wöhrmann;27.06.1931;13158;Rosenthal;030/79703647;rwoehrmann@web.none;30.09.2019;w
120;Sophia;Graber;22.01.1927;38729;Hahausen;05383/93611288;sophia-graber@net-mail.none;07.05.2020;w
121;Annalene;Leske;11.02.1961;25926;Karlum;04662/5510966;annalene.leske@company.none;15.01.2021;w
122;Dietolf;Kohn;04.10.1962;21521;Wohltorf;;;17.03.2020;m
123;Klaudia;Zirngibl;08.02.1905;21406;Barnstedt;04134/85513742;klaudia-1905@justmail.none;02.01.2020;d
124;Giselbert;Niebel;27.10.2011;13158;Rosenthal;030/18452961;giselbert_niebel@open-mail.none;02.09.2020;m
125;Ilsegret;Zanger;20.07.1994;72294;Grömbach;07453/53709402;ilsegret-zanger@net-mail.none;07.02.2020;w
126;Sonnhild;Leske;22.07.1910;25926;Karlum;04662/22005141;sonnhild-leske@inter-mail.none;26.08.2019;w
127;Seibold;Heimann;13.11.1905;24975;Hürup;04634/5349178;seibold_heimann@anymail.none;23.04.2020;d
128;Ferdi;Reischl;15.07.1917;49196;Bad Laer;05424/6947475;f_reischl@private.none;07.08.2019;m
129;Tiberius;Stickel;15.04.1918;17111;Sarow;03994/9259634;tiberiusstickel@justmail.none;24.06.2020;m
130;Ignatia;Elter;29.05.1910;54636;Ehlenz;06561/58143731;i-elter@domain.none;02.07.2020;d
131;Hansludwig;Dörries;09.08.2003;24975;Hürup;;h.doerries@trashmail.none;12.11.2020;m
132;Martha;Klopp;01.12.1971;49832;Freren;05902/58066095;m-71@mymail.none;25.08.2019;w
133;Elselotte;Gröning;22.11.2017;97258;Oberickelsheim;09842/79313882;elselottegroening@ultramail.none;09.04.2020;w
134;Andrea;Düren;11.09.1906;38462;Grafhorst;05364/21357203;;12.06.2019;w
135;Lana;Gellert;16.06.1935;24211;Pohnsdorf;04342/42406049;;07.07.2019;w
136;Kimberly;Lindinger;16.04.1955;49832;Freren;;kimberly.lindinger@open-mail.none;17.06.2021;w
137;Erlwine;Kugler;30.01.1905;50735;Köln;0221/89488856;;25.05.2019;w
138;Wilgard;Iwan;19.08.1910;53506;Rech;02643/64382884;wilgard_iwan@open-mail.none;03.10.2019;w
139;Jupp;Wiedmann;06.11.1950;49832;Freren;05902/75720561;;17.12.2019;m
140;Gelbert;Aderhold;03.05.1918;21406;Barnstedt;04134/97752322;gaderhold@company.none;18.02.2020;m
141;Meinfriede;Wichert;01.07.1967;74243;Langenbrettach;07139/65769155;meinfriede.wichert@bestmail.none;27.02.2021;d
142;Gotthold;Feige;04.06.1904;72411;Bodelshausen;07471/95419020;;11.01.2019;m
143;Connor;Mehnert;06.07.2007;38462;Grafhorst;05364/7694942;connor07@trashmail.none;18.09.2019;m
144;Gregor;Weidner;04.09.1923;33739;Bielefeld;;gregor-weidner@goggle-mail.none;11.08.2020;m
145;Evelyn;Buttgereit;02.11.1977;21406;Barnstedt;04134/87048892;e-buttgereit@web.none;10.05.2020;w
146;Otger;Alsleben;05.11.1971;84168;Aham;08744/41000332;;17.06.2021;m
147;Meinard;Dau;29.11.1920;24626;Groß Kummerfeld;04328/141328;meinarddau@trashmail.none;06.03.2021;m
148;Liebhardt;Zeising;08.04.1997;55471;Reich;06761/19932722;liebhardt.zeising@company.none;20.07.2020;m
149;Josepha;Rhodes;17.06.1909;13158;Rosenthal;030/2701822;josepha-1909@funmail.none;15.09.2019;w
150;Mike;Siedler;05.09.1906;67744;Löllbach;06753/79808713;;08.06.2019;m
151;Sybil;Weßling;09.11.1946;67744;Löllbach;06753/51339764;sybil_wessling@xyz.none;10.07.2019;d
152;Isa;Sütterlin;04.09.1946;38462;Grafhorst;05364/43338622;isa-suetterlin@kitty.none;27.12.2020;w
153;Gusti;Oppel;22.07.2014;38462;Grafhorst;05364/50468116;;29.05.2021;w
154;Waldtraut;Menk;18.08.1916;74243;Langenbrettach;;w-1916@open-mail.none;17.09.2020;w
155;Otti;Negele;01.06.1938;21521;Wohltorf;;otti-38@web.none;04.04.2019;w
156;Curd;Küsters;21.03.1945;53506;Rech;02643/41057389;;21.11.2020;m
157;Udo;Adamietz;05.02.1967;97258;Oberickelsheim;09842/68355825;udoadamietz@email.none;01.07.2019;m
158;Harda;Hüttinger;07.01.1913;25926;Karlum;04662/14698892;harda-13@xyz.none;16.05.2020;w
159;Lona;Sperling;08.12.1930;54636;Ehlenz;;lona-30@spam-mail.none;10.06.2020;d
160;Wennemar;Dahlhaus;01.05.1997;53506;Rech;02643/34361843;wennemar.dahlhaus@quickmail.none;26.05.2019;m
161;Aloys;Ohms;11.04.1916;34266;Niestetal;05605/91255874;aloys1916@retromail.none;13.09.2019;m
162;Timm;Hoffmeyer;29.06.1966;86637;Wertingen;08272/44558728;timm-hoffmeyer@private.none;13.11.2020;m
163;Gerolf;Altendorf;07.03.2003;45476;Mülheim an der Ruhr;0208/29914909;;20.04.2019;m
164;Delf;Lüpke;01.10.1957;25792;Neuenkirchen;;d.luepke@kitty.none;18.09.2020;m
165;Jolanta;Wambach;27.09.1986;72294;Grömbach;07453/38747719;jolanta.wambach@trashmail.none;20.02.2019;w
166;Eik;Kiehn;24.02.1948;25926;Karlum;04662/9060131;;27.11.2020;m
167;Hanna;Steinle;15.08.1911;49832;Freren;05902/6058778;h-steinle@mymail.none;08.08.2020;d
168;Herlind;Fiala;02.03.2012;72294;Grömbach;07453/84324351;herlindfiala@hoster.none;26.05.2019;w
169;Horstmar;Baldauf;26.10.1913;21406;Barnstedt;04134/95891553;horstmar-1913@domain.none;09.04.2019;m
170;Dietmute;Jörger;13.06.1942;38462;Grafhorst;05364/86481603;dietmute-joerger@validmail.none;16.10.2019;w
171;Sigmund;Neal;30.01.1923;67586;Hillesheim;06733/67878556;sigmund_23@email.none;01.01.2020;m
172;Justin;Beyerlein;21.08.1913;84168;Aham;08744/86520315;justinbeyerlein@ultramail.none;19.07.2019;m
173;Hoimar;Giel;06.05.1910;13158;Rosenthal;030/99920398;;04.09.2019;m
174;Margareth;Kraut;05.01.1943;54578;Berndorf;06593/70906017;m.kraut@open-mail.none;12.01.2019;w
175;Felizia;Bräunig;23.09.2001;73265;Dettingen unter Teck;07021/99801728;fbraeunig@retromail.none;15.05.2021;w
176;Krista;Lauterbach;10.07.1985;54578;Berndorf;;krista.lauterbach@anymail.none;24.07.2019;w
177;Inge;Elbers;25.12.1905;97258;Oberickelsheim;09842/24500018;inge.elbers@xyz.none;31.10.2019;w
178;Harro;Vetter;09.01.1905;84168;Aham;08744/98720812;harrovetter@net-mail.none;02.05.2020;m
179;Sindy;Pflieger;28.06.1916;49832;Freren;05902/50969025;;15.06.2019;w
180;Sigenot;Herth;07.07.2017;38462;Grafhorst;05364/28999171;sigenot_herth@anymail.none;16.04.2019;m
181;Rosely;Adolph;02.02.1934;74243;Langenbrettach;07139/33436947;rosely.adolph@kitty.none;19.01.2021;w
182;Annetraude;Roberts;21.09.2009;25764;Hillgroven;04823/61076759;a_roberts@justmail.none;08.04.2019;d
183;Cordelia;Aurich;20.05.1983;67744;Löllbach;06753/729750;c_aurich@net-mail.none;04.02.2020;w
184;Helena;Ade;28.01.1985;38462;Grafhorst;05364/88037259;h.85@goggle-mail.none;08.07.2020;w
185;Warnfried;Feuchter;12.06.1932;72294;Grömbach;;warnfriedfeuchter@net-mail.none;04.02.2020;m
186;Wulfhardt;Wittrock;22.12.1994;21521;Wohltorf;04104/16387573;wulfhardt-wittrock@xyz.none;05.10.2019;m
187;Tilla;Zeitz;12.02.1974;25792;Neuenkirchen;04837/63506439;t-zeitz@web.none;09.03.2021;w
188;Vincent;Neeb;24.06.1916;67744;Löllbach;;vincent.neeb@bestmail.none;30.03.2019;m
189;Muhammed;Riegger;02.06.1945;25764;Hillgroven;;muhammed-riegger@email.none;02.05.2020;m
190;Martin;Stokes;03.08.1936;85622;Feldkirchen;;martin.stokes@company.none;20.07.2020;m
191;Aloys;Bechtel;12.09.2015;49196;Bad Laer;;aloys.bechtel@hoster.none;16.03.2019;m
192;Wolff;Hausdorf;16.06.1972;82031;Grünwald;089/15356194;wolffhausdorf@net-mail.none;23.03.2019;m
193;Florine;Jürgensen;12.02.1922;21406;Barnstedt;04134/54118588;florine-juergensen@web.none;06.08.2019;w
194;Anthony;Bölling;22.01.1932;72294;Grömbach;07453/43651512;a_boelling@email.none;31.05.2019;m
195;Katharina;Heimann;02.10.1971;99428;Weimar;03643/48834484;k.1971@mymail.none;13.07.2020;w
196;Diethild;Locher;04.10.1996;13158;Rosenthal;030/24587089;diethild_locher@goggle-mail.none;20.12.2020;w
197;Paulfried;Bilz;27.01.1950;33739;Bielefeld;0521/65345946;p-bilz@trashmail.none;23.09.2020;d
198;Juliana;Riedl;08.01.1964;24626;Groß Kummerfeld;04328/59546119;;03.06.2020;w
199;Cordt;Grasse;20.08.1986;49196;Bad Laer;05424/193385;;05.11.2019;m
200;Dominik;Falck;29.09.1914;13158;Rosenthal;030/51740566;dominikfalck@domain.none;05.12.2020;m
201;Ingelore;Zoll;12.11.1937;24211;Pohnsdorf;04342/21557252;;28.02.2020;w
202;Frederik;Elflein;16.01.1977;49196;Bad Laer;05424/15346792;felflein@inter-mail.none;22.06.2020;m
203;Heinolf;Stütz;25.08.1928;72411;Bodelshausen;07471/2689693;h-stuetz@private.none;12.05.2021;m
204;Marbod;Colak;18.06.1970;24975;Hürup;;m.colak@validmail.none;24.11.2020;d
205;Meinard;Mauermann;12.04.1975;25764;Hillgroven;04823/96361881;meinard1975@retromail.none;16.08.2020;m
206;Hansjörg;Kissel;14.02.1908;82031;Grünwald;089/31258387;h.kissel@company.none;05.11.2019;d
207;Heidegard;Reul;27.12.1954;85622;Feldkirchen;;;10.06.2020;w
208;Reingard;Bernhard;11.10.1909;38440;Wolfsburg;05361/51345616;reingardbernhard@private.none;27.09.2020;w
209;Jeanett;Kandziora;27.07.2020;97258;Oberickelsheim;;jeanett20@email.none;08.05.2021;d
210;Rosi;Mendel;09.06.1954;72294;Grömbach;07453/80181476;;18.03.2019;w
211;Dora;Brooks;21.03.1993;53506;Rech;02643/70474817;;27.05.2021;w
212;Wilhelmine;Karl;16.06.1973;88361;Boms;07581/78429284;wilhelmine.73@quickmail.none;28.08.2019;w
213;Gerthold;Schwer;25.02.2001;24626;Groß Kummerfeld;04328/90258432;;21.06.2019;m
214;Mario;Leber;06.05.1920;38729;Hahausen;05383/22919384;m.leber@ultramail.none;17.06.2021;m
215;Giselher;Ruder;04.03.1911;84367;Zeilarn;08572/6876106;giselher.ruder@private.none;04.06.2020;m
216;Hertha;Kammel;16.10.1913;54578;Berndorf;;h.kammel@justmail.none;19.10.2020;w
217;Eckfried;Beneke;16.10.1962;67586;Hillesheim;06733/453276;;23.07.2020;d
218;Rosa;Macke;23.11.1956;13158;Rosenthal;030/94332174;r.macke@inter-mail.none;04.05.2021;w
219;Werngard;Nötzold;02.04.1929;21521;Wohltorf;04104/33146206;werngard.noetzold@ultramail.none;01.01.2019;w
220;Dietz;Finken;12.09.1902;38462;Grafhorst;;dietz.1902@retromail.none;26.11.2020;d
221;Gunhild;Eschrich;13.06.1982;67586;Hillesheim;06733/36698324;gunhild.eschrich@web.none;29.07.2020;w
222;Seibold;Scholtz;11.02.1991;55471;Reich;06761/30286111;seibold_scholtz@ultramail.none;01.09.2020;m
223;Nils;Ecke;06.10.1977;21521;Wohltorf;04104/62653033;nils_77@private.none;07.10.2019;d
224;Kläre;Page;16.07.1949;67744;Löllbach;06753/8600256;k-page@net-mail.none;13.07.2020;w
225;Lona;Kelling;22.07.1970;84168;Aham;08744/74145021;lona_kelling@domain.none;27.05.2021;w
226;Waldtraut;Rittmann;17.10.1943;49832;Freren;05902/13363204;waldtraut-1943@bestmail.none;06.02.2020;w
227;Christiane;Hoppe;09.01.1953;67728;Münchweiler an der Alsenz;06302/23686513;christiane.hoppe@inter-mail.none;18.05.2021;w
228;Clementine;Mix;02.10.1995;72294;Grömbach;07453/8644116;;15.07.2019;w
229;Volkhardt;Mayer;30.11.1947;13158;Rosenthal;;;19.12.2019;m
230;Muthild;Aksu;07.10.1939;73265;Dettingen unter Teck;07021/63337270;muthildaksu@kitty.none;09.07.2019;w
231;Rimbert;Wölfel;23.09.1947;25926;Karlum;04662/61871356;rimbert.1947@domain.none;01.09.2019;m
232;Susette;Bowen;28.10.1974;86637;Wertingen;08272/51237872;;25.08.2019;w
233;Germo;Crone;05.10.1978;21406;Barnstedt;04134/29633819;;17.09.2020;m
234;Pankratius;Friedlein;15.04.1999;13158;Rosenthal;;;02.05.2021;m
235;Jannes;Goebel;21.08.1985;25926;Karlum;04662/91423004;jannes-goebel@live-mail.none;13.05.2021;m
236;Wiegand;Sieber;29.03.1919;50735;Köln;0221/64264333;wiegand_sieber@kitty.none;14.02.2021;m
237;Hieronymus;Deppe;18.04.1923;72294;Grömbach;07453/5314419;hieronymus_deppe@justmail.none;18.04.2020;m
238;Ehrenfried;Pfaff;30.06.1974;85622;Feldkirchen;089/41608654;ehrenfried.1974@kitty.none;06.10.2019;m
239;Caja;McCoy;25.04.1913;54578;Berndorf;;c.mccoy@ultramail.none;26.12.2020;w
240;Ursula;Bayram;27.07.1909;84168;Aham;08744/77580828;;23.02.2019;w
241;Friedolin;Riedel;26.04.2016;21406;Barnstedt;04134/22169410;friedolin.riedel@bestmail.none;28.01.2019;m
242;Caren;Meis;23.01.2018;17111;Sarow;03994/12930595;caren.meis@hoster.none;02.06.2019;w
243;Pankraz;Lessing;06.11.1972;72411;Bodelshausen;07471/77384159;plessing@bestmail.none;20.03.2021;m
244;Konrad;Roland;15.07.1974;84168;Aham;08744/64225039;konrad-roland@anymail.none;14.06.2019;m
245;Brandolf;Garz;01.08.1939;67744;Löllbach;;bgarz@private.none;03.06.2020;m
246;Waltraut;Heiß;27.08.1978;84168;Aham;;waltraut.heiss@email.none;16.06.2020;w
247;Joachim;Sander;15.01.1992;25926;Karlum;;joachimsander@open-mail.none;18.09.2019;m
248;Christhild;Rix;26.04.1983;82031;Grünwald;;christhild-rix@open-mail.none;17.03.2019;w
249;Frieda;Nieder;25.04.2004;67586;Hillesheim;06733/34400442;frieda-nieder@net-mail.none;23.06.2021;w
250;Gundhild;Ulmer;26.09.1910;74243;Langenbrettach;07139/48574941;gundhild.ulmer@hoster.none;12.10.2020;w
251;Rudolf;Neeb;26.01.1994;38729;Hahausen;05383/35518338;rudolf.neeb@mymail.none;08.12.2020;m
